COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM_FRQ_ALW
6057,0.003,0.054,0.084,0.177,0.682,0.859
6059,0.023,0.021,0.046,0.156,0.754,0.91
6061,0.012,0.023,0.072,0.201,0.693,0.894
6063,0.063,0.067,0.053,0.146,0.671,0.817
6065,0.026,0.014,0.041,0.116,0.803,0.919
6067,0.025,0.028,0.062,0.164,0.722,0.886
6069,0.018,0.004,0.063,0.175,0.739,0.914
6071,0.027,0.022,0.048,0.134,0.768,0.902
6073,0.017,0.023,0.034,0.126,0.8,0.926
6075,0.017,0.011,0.035,0.121,0.817,0.938
6077,0.054,0.019,0.081,0.165,0.68,0.845
6079,0.025,0.024,0.037,0.169,0.745,0.914
6081,0.016,0.013,0.058,0.126,0.786,0.912
6083,0.015,0.02,0.075,0.153,0.737,0.89
6085,0.015,0.014,0.04,0.168,0.764,0.932
6087,0.008,0,0.086,0.109,0.797,0.906
6089,0.095,0.056,0.071,0.232,0.547,0.779
6091,0.14,0.053,0.047,0.143,0.617,0.76
6093,0.132,0.074,0.082,0.167,0.546,0.713
6095,0.043,0.046,0.035,0.148,0.728,0.876
6097,0.022,0.012,0.022,0.149,0.795,0.944
6099,0.032,0.028,0.062,0.173,0.705,0.878
6101,0.058,0.031,0.08,0.163,0.669,0.832
6103,0.057,0.062,0.141,0.195,0.545,0.74
6105,0.081,0.07,0.055,0.201,0.592,0.793
6107,0.025,0.039,0.115,0.136,0.685,0.821
6109,0.008,0.043,0.084,0.212,0.653,0.865
6111,0.024,0.011,0.033,0.156,0.777,0.933
6113,0.007,0.005,0.04,0.156,0.791,0.947
6115,0.057,0.035,0.071,0.167,0.669,0.836
8001,0.032,0.027,0.071,0.185,0.685,0.87
8003,0.052,0.133,0.094,0.228,0.493,0.721
8005,0.013,0.026,0.065,0.193,0.703,0.896
8007,0.041,0.041,0.155,0.276,0.488,0.764
8009,0.113,0.053,0.194,0.206,0.435,0.641
8011,0.033,0.036,0.172,0.191,0.567,0.758
8013,0.008,0.015,0.032,0.195,0.75,0.945
8014,0.018,0.005,0.042,0.201,0.734,0.935
8015,0.038,0.045,0.134,0.138,0.645,0.783
8017,0.016,0.187,0.106,0.398,0.292,0.69
8019,0.002,0.015,0.138,0.123,0.723,0.846
8021,0.06,0.106,0.093,0.195,0.545,0.74
8023,0.034,0.072,0.076,0.175,0.644,0.819
8025,0.002,0.034,0.08,0.294,0.59,0.884
8027,0.017,0.098,0.153,0.234,0.498,0.732
8029,0.087,0.094,0.074,0.295,0.45,0.745
8031,0.02,0.018,0.062,0.194,0.707,0.901
8033,0.052,0.039,0.066,0.252,0.591,0.843
8035,0.013,0.041,0.081,0.192,0.673,0.865
8037,0.008,0.003,0.033,0.269,0.687,0.956
8039,0.016,0.044,0.19,0.246,0.505,0.751
8041,0.031,0.089,0.081,0.196,0.603,0.799
8043,0.006,0.069,0.062,0.2,0.663,0.863
8045,0.065,0.04,0.037,0.326,0.532,0.858
8047,0.001,0.027,0.017,0.17,0.785,0.955
8049,0.006,0.002,0.05,0.187,0.754,0.941
8051,0.057,0.039,0.043,0.281,0.581,0.862
8053,0.043,0.05,0.117,0.271,0.519,0.79
8055,0.028,0.051,0.051,0.275,0.595,0.87
8057,0.021,0.027,0.09,0.342,0.52,0.862
8059,0.028,0.031,0.075,0.194,0.673,0.867
8061,0.028,0.051,0.159,0.27,0.492,0.762
8063,0.024,0.323,0.119,0.344,0.19,0.534
8065,0.002,0.016,0.036,0.193,0.753,0.946
8067,0.043,0.02,0.122,0.274,0.541,0.815
8069,0.013,0.037,0.06,0.231,0.659,0.89
8071,0.052,0.03,0.101,0.17,0.648,0.818
8073,0.013,0.068,0.196,0.403,0.321,0.724
8075,0.078,0.202,0.101,0.368,0.251,0.619
8077,0.075,0.105,0.098,0.222,0.499,0.721
8079,0.049,0.072,0.138,0.264,0.478,0.742
8081,0.041,0.142,0.162,0.284,0.371,0.655
8083,0.057,0.019,0.081,0.257,0.586,0.843
8085,0.085,0.092,0.074,0.314,0.436,0.75
8087,0.083,0.161,0.116,0.245,0.396,0.641
8089,0.004,0.047,0.102,0.194,0.653,0.847
8091,0.06,0.08,0.069,0.295,0.495,0.79
8093,0.021,0.018,0.103,0.137,0.722,0.859
8095,0.05,0.19,0.137,0.255,0.368,0.623
8097,0.019,0.014,0.016,0.318,0.633,0.951
8099,0.079,0.046,0.205,0.201,0.469,0.67
8101,0.018,0.044,0.074,0.28,0.584,0.864
8103,0.111,0.092,0.074,0.265,0.458,0.723
8105,0.061,0.144,0.11,0.242,0.444,0.686
8107,0.008,0.036,0.092,0.375,0.489,0.864
8109,0.065,0.122,0.138,0.232,0.443,0.675
8111,0.032,0.038,0.097,0.27,0.563,0.833
8113,0.043,0.058,0.074,0.26,0.565,0.825
8115,0.065,0.162,0.138,0.267,0.368,0.635
8117,0,0.001,0.064,0.151,0.784,0.935
8119,0.105,0.087,0.066,0.145,0.597,0.742
8121,0.077,0.208,0.101,0.303,0.31,0.613
8123,0.046,0.038,0.135,0.231,0.55,0.781
8125,0.038,0.284,0.133,0.255,0.29,0.545
9001,0.027,0.019,0.06,0.114,0.78,0.894
9003,0.015,0.023,0.065,0.13,0.767,0.897
9005,0.017,0.051,0.021,0.098,0.812,0.91
9007,0.003,0.007,0.055,0.128,0.807,0.935
9009,0.023,0.014,0.053,0.115,0.795,0.91
9011,0.025,0.021,0.066,0.142,0.747,0.889
9013,0.008,0.008,0.027,0.147,0.81,0.957
9015,0.022,0.041,0.082,0.137,0.718,0.855
10001,0.026,0.006,0.106,0.051,0.811,0.862
10003,0.027,0.013,0.041,0.133,0.786,0.919
10005,0.005,0.001,0.035,0.103,0.856,0.959
11001,0.012,0.013,0.069,0.164,0.743,0.907
12001,0.001,0.024,0.053,0.17,0.751,0.921
12003,0.087,0.076,0.18,0.215,0.442,0.657
12005,0.065,0.109,0.076,0.202,0.548,0.75
12007,0.106,0.168,0.172,0.173,0.381,0.554
12009,0.068,0.073,0.096,0.157,0.607,0.764
12011,0.026,0.023,0.043,0.117,0.791,0.908
12013,0.034,0.055,0.138,0.267,0.507,0.774
12015,0.051,0.049,0.101,0.158,0.64,0.798
12017,0.09,0.036,0.087,0.178,0.609,0.787
12019,0.055,0.067,0.15,0.209,0.52,0.729
12021,0.04,0.023,0.067,0.212,0.658,0.87
12023,0.047,0.026,0.288,0.254,0.385,0.639
12027,0.023,0.064,0.056,0.142,0.715,0.857
12029,0.071,0.095,0.119,0.318,0.397,0.715
12031,0.049,0.042,0.086,0.194,0.629,0.823
12033,0.019,0.052,0.095,0.31,0.524,0.834
12035,0.079,0.05,0.113,0.157,0.602,0.759
12037,0.022,0.101,0.237,0.228,0.412,0.64
12039,0.06,0.033,0.104,0.227,0.575,0.802
12041,0.016,0.151,0.069,0.324,0.44,0.764
12043,0.047,0.082,0.098,0.096,0.677,0.773
12045,0.046,0.125,0.12,0.249,0.46,0.709
12047,0.101,0.071,0.235,0.227,0.365,0.592
12049,0.114,0.041,0.179,0.186,0.48,0.666
12051,0.046,0.042,0.112,0.15,0.65,0.8
12053,0.09,0.04,0.091,0.19,0.589,0.779
12055,0.025,0.056,0.145,0.138,0.635,0.773
12057,0.023,0.031,0.069,0.155,0.722,0.877
12059,0.17,0.077,0.081,0.111,0.562,0.673
12061,0.054,0.065,0.082,0.193,0.607,0.8
12063,0.064,0.108,0.129,0.174,0.526,0.7
12065,0.019,0.017,0.099,0.183,0.682,0.865
12067,0.102,0.081,0.22,0.208,0.389,0.597
12069,0.047,0.062,0.074,0.185,0.632,0.817
12071,0.052,0.05,0.073,0.176,0.648,0.824
12073,0.051,0.022,0.071,0.156,0.7,0.856
12075,0.017,0.132,0.072,0.187,0.592,0.779
12077,0.022,0.023,0.205,0.268,0.482,0.75
12079,0.164,0.085,0.148,0.264,0.34,0.604
12081,0.074,0.037,0.062,0.201,0.626,0.827
12083,0.046,0.087,0.121,0.203,0.543,0.746
12085,0.027,0.018,0.066,0.169,0.719,0.888
12086,0.032,0.023,0.06,0.128,0.756,0.884
12087,0.007,0.001,0.014,0.159,0.819,0.978
12089,0.09,0.07,0.147,0.223,0.47,0.693
12091,0.091,0.083,0.147,0.21,0.469,0.679
12093,0.016,0.034,0.064,0.171,0.715,0.886
12095,0.02,0.02,0.072,0.164,0.724,0.888
12097,0.025,0.022,0.058,0.176,0.72,0.896
12099,0.03,0.02,0.05,0.116,0.784,0.9
12101,0.027,0.029,0.055,0.179,0.709,0.888
12103,0.025,0.019,0.074,0.133,0.75,0.883
12105,0.05,0.063,0.085,0.172,0.63,0.802
12107,0.068,0.05,0.114,0.186,0.581,0.767
12109,0.047,0.071,0.097,0.223,0.561,0.784
12111,0.077,0.022,0.08,0.173,0.648,0.821
12113,0.047,0.068,0.166,0.265,0.453,0.718
12115,0.017,0.031,0.073,0.175,0.704,0.879
12117,0.037,0.039,0.066,0.141,0.717,0.858
12119,0.037,0.036,0.064,0.235,0.628,0.863
12121,0.105,0.055,0.244,0.227,0.369,0.596
12123,0.103,0.086,0.19,0.145,0.476,0.621
12125,0.044,0.04,0.176,0.267,0.473,0.74
12127,0.035,0.066,0.089,0.192,0.618,0.81
12129,0.032,0.092,0.172,0.275,0.429,0.704
12131,0.092,0.06,0.092,0.244,0.512,0.756
12133,0.138,0.085,0.062,0.158,0.557,0.715
13001,0.085,0.117,0.23,0.152,0.416,0.568
13003,0.059,0.1,0.179,0.217,0.445,0.662
13005,0.071,0.132,0.187,0.188,0.421,0.609
13007,0.027,0.048,0.054,0.127,0.743,0.87
13009,0.02,0.089,0.107,0.29,0.494,0.784
13011,0.136,0.103,0.125,0.238,0.399,0.637
