Distribution_of_claims,Census
104234,CENSUS2010POP
10972,CENSUS2010POP
2891,CENSUS2010POP
1117,CENSUS2010POP
188923,CENSUS2010POP
6963,CENSUS2010POP
22952,CENSUS2010POP
982,CENSUS2010POP
8761,CENSUS2010POP
4368,CENSUS2010POP
27038,CENSUS2010POP
12786,CENSUS2010POP
13242,CENSUS2010POP
16719,CENSUS2010POP
15464,CENSUS2010POP
16267,CENSUS2010POP
26140,CENSUS2010POP
22374,CENSUS2010POP
138494,CENSUS2010POP
37244,CENSUS2010POP
7936,CENSUS2010POP
3821,CENSUS2010POP
5208,CENSUS2010POP
37536,CENSUS2010POP
20069,CENSUS2010POP
39265,CENSUS2010POP
4286,CENSUS2010POP
11526,CENSUS2010POP
22623,CENSUS2010POP
7817,CENSUS2010POP
12765,CENSUS2010POP
10170,CENSUS2010POP
77230,CENSUS2010POP
9862,CENSUS2010POP
10198,CENSUS2010POP
12830632,CENSUS2010POP
67103,CENSUS2010POP
8238,CENSUS2010POP
17768,CENSUS2010POP
54165,CENSUS2010POP
6937,CENSUS2010POP
34978,CENSUS2010POP
5089,CENSUS2010POP
15387,CENSUS2010POP
13642,CENSUS2010POP
201081,CENSUS2010POP
34800,CENSUS2010POP
16335,CENSUS2010POP
13815,CENSUS2010POP
37762,CENSUS2010POP
53873,CENSUS2010POP
5194675,CENSUS2010POP
19817,CENSUS2010POP
11048,CENSUS2010POP
105160,CENSUS2010POP
16561,CENSUS2010POP
19980,CENSUS2010POP
916924,CENSUS2010POP
18576,CENSUS2010POP
6721,CENSUS2010POP
34242,CENSUS2010POP
22140,CENSUS2010POP
14081,CENSUS2010POP
39561,CENSUS2010POP
37069,CENSUS2010POP
5589,CENSUS2010POP
13886,CENSUS2010POP
50063,CENSUS2010POP
8457,CENSUS2010POP
19104,CENSUS2010POP
4320,CENSUS2010POP
7331,CENSUS2010POP
50486,CENSUS2010POP
29718,CENSUS2010POP
60218,CENSUS2010POP
9698,CENSUS2010POP
38827,CENSUS2010POP
22985,CENSUS2010POP
22678,CENSUS2010POP
12582,CENSUS2010POP
515269,CENSUS2010POP
113449,CENSUS2010POP
114736,CENSUS2010POP
52919,CENSUS2010POP
703462,CENSUS2010POP
113924,CENSUS2010POP
16833,CENSUS2010POP
36031,CENSUS2010POP
38950,CENSUS2010POP
30305,CENSUS2010POP
32612,CENSUS2010POP
308760,CENSUS2010POP
169572,CENSUS2010POP
110768,CENSUS2010POP
47765,CENSUS2010POP
269282,CENSUS2010POP
39437,CENSUS2010POP
12640,CENSUS2010POP
14666,CENSUS2010POP
15429,CENSUS2010POP
12705,CENSUS2010POP
16434,CENSUS2010POP
32957,CENSUS2010POP
30104,CENSUS2010POP
35547,CENSUS2010POP
14846,CENSUS2010POP
53497,CENSUS2010POP
186494,CENSUS2010POP
22350,CENSUS2010POP
16729,CENSUS2010POP
16430,CENSUS2010POP
4470,CENSUS2010POP
6161,CENSUS2010POP
6006,CENSUS2010POP
33476,CENSUS2010POP
16233,CENSUS2010POP
147546,CENSUS2010POP
270056,CENSUS2010POP
24913,CENSUS2010POP
197465,CENSUS2010POP
7544,CENSUS2010POP
5355,CENSUS2010POP
22363,CENSUS2010POP
5994,CENSUS2010POP
47711,CENSUS2010POP
135394,CENSUS2010POP
17808,CENSUS2010POP
81625,CENSUS2010POP
11947,CENSUS2010POP
17707,CENSUS2010POP
14716,CENSUS2010POP
16760,CENSUS2010POP
14665,CENSUS2010POP
58498,CENSUS2010POP
677560,CENSUS2010POP
66357,CENSUS2010POP
295266,CENSUS2010POP
38664,CENSUS2010POP
6483802,CENSUS2010POP
34387,CENSUS2010POP
355329,CENSUS2010POP
76794,CENSUS2010POP
8854,CENSUS2010POP
12766,CENSUS2010POP
56640,CENSUS2010POP
15242,CENSUS2010POP
20155,CENSUS2010POP
38966,CENSUS2010POP
110232,CENSUS2010POP
26890,CENSUS2010POP
33224,CENSUS2010POP
10713,CENSUS2010POP
31648,CENSUS2010POP
50047,CENSUS2010POP
25740,CENSUS2010POP
42223,CENSUS2010POP
117671,CENSUS2010POP
41889,CENSUS2010POP
197559,CENSUS2010POP
24277,CENSUS2010POP
74578,CENSUS2010POP
17240,CENSUS2010POP
23087,CENSUS2010POP
20836,CENSUS2010POP
33503,CENSUS2010POP
70061,CENSUS2010POP
33165,CENSUS2010POP
274569,CENSUS2010POP
70002,CENSUS2010POP
39364,CENSUS2010POP
145448,CENSUS2010POP
49462,CENSUS2010POP
82752,CENSUS2010POP
37124,CENSUS2010POP
42376,CENSUS2010POP
33478,CENSUS2010POP
21253,CENSUS2010POP
32428,CENSUS2010POP
28525,CENSUS2010POP
139654,CENSUS2010POP
38440,CENSUS2010POP
77358,CENSUS2010POP
37128,CENSUS2010POP
496005,CENSUS2010POP
111467,CENSUS2010POP
46134,CENSUS2010POP
131636,CENSUS2010POP
903393,CENSUS2010POP
47051,CENSUS2010POP
10334,CENSUS2010POP
36903,CENSUS2010POP
