CENSUS2010POP ,LOCATION
"895,236",".Hartford County, Connecticut"
"189,763",".Litchfield County, Connecticut"
"165,616",".Middlesex County, Connecticut"
"863,357",".New Haven County, Connecticut"
"274,004",".New London County, Connecticut"
"153,239",".Tolland County, Connecticut"
"118,544",".Windham County, Connecticut"
"162,956",".Kent County, Delaware"
"538,752",".New Castle County, Delaware"
"197,885",".Sussex County, Delaware"
"605,226",".District of Columbia, District of Columbia"
"247,614",".Alachua County, Florida"
"27,066",".Baker County, Florida"
"169,206",".Bay County, Florida"
"28,536",".Bradford County, Florida"
"543,965",".Brevard County, Florida"
"1,752,803",".Broward County, Florida"
"14,647",".Calhoun County, Florida"
"159,875",".Charlotte County, Florida"
"141,173",".Citrus County, Florida"
"191,451",".Clay County, Florida"
"322,581",".Collier County, Florida"
"67,553",".Columbia County, Florida"
"34,934",".DeSoto County, Florida"
"16,400",".Dixie County, Florida"
"865,628",".Duval County, Florida"
"298,038",".Escambia County, Florida"
"96,066",".Flagler County, Florida"
"11,522",".Franklin County, Florida"
"47,794",".Gadsden County, Florida"
"17,000",".Gilchrist County, Florida"
"12,869",".Glades County, Florida"
"15,825",".Gulf County, Florida"
"14,683",".Hamilton County, Florida"
"27,730",".Hardee County, Florida"
"39,009",".Hendry County, Florida"
"172,969",".Hernando County, Florida"
"98,635",".Highlands County, Florida"
"1,233,498",".Hillsborough County, Florida"
"19,843",".Holmes County, Florida"
"138,270",".Indian River County, Florida"
"49,648",".Jackson County, Florida"
"14,755",".Jefferson County, Florida"
"8,808",".Lafayette County, Florida"
"297,709",".Lake County, Florida"
"620,449",".Lee County, Florida"
"275,971",".Leon County, Florida"
"40,720",".Levy County, Florida"
"8,349",".Liberty County, Florida"
"19,248",".Madison County, Florida"
"323,424",".Manatee County, Florida"
"331,331",".Marion County, Florida"
"146,909",".Martin County, Florida"
"2,506,972",".Miami-Dade County, Florida"
"73,220",".Monroe County, Florida"
"73,513",".Nassau County, Florida"
"180,715",".Okaloosa County, Florida"
"40,025",".Okeechobee County, Florida"
"1,148,564",".Orange County, Florida"
"269,837",".Osceola County, Florida"
"1,323,619",".Palm Beach County, Florida"
"465,487",".Pasco County, Florida"
"916,412",".Pinellas County, Florida"
"603,102",".Polk County, Florida"
"74,220",".Putnam County, Florida"
"191,249",".St. Johns County, Florida"
"278,264",".St. Lucie County, Florida"
"152,908",".Santa Rosa County, Florida"
"379,930",".Sarasota County, Florida"
"423,051",".Seminole County, Florida"
"94,278",".Sumter County, Florida"
"42,328",".Suwannee County, Florida"
"22,595",".Taylor County, Florida"
"15,542",".Union County, Florida"
"494,440",".Volusia County, Florida"
"30,825",".Wakulla County, Florida"
"55,217",".Walton County, Florida"
"24,720",".Washington County, Florida"
"18,334",".Appling County, Georgia"
"8,364",".Atkinson County, Georgia"
"11,062",".Bacon County, Georgia"
"3,431",".Baker County, Georgia"
"45,704",".Baldwin County, Georgia"
"18,410",".Banks County, Georgia"
